epoch,condition,mean,median
10,A,84.63533171315356,97.87772414077669
10,B,99.30767406117698,101.36727670646916
10,C,99.23689099397313,99.4896090454158
10,D,92.18517521602884,93.4310253163256
20,A,0.06559603461268239,0.0008673715595536
20,B,49.24718258983475,19.72563346947819
20,C,95.2023896969616,117.85081146399034
20,D,110.2991563581763,110.96298682181548
30,A,0.004745756129524576,0.0001046925253969
30,B,2.305565668582018,0.0057436139988412006
30,C,1.5196894793926732,0.0030033541365062
30,D,90.77264229636145,108.69745796003545
40,A,0.0038358294273383663,9.180760303315258e-05
40,B,1.1686626882369446,0.004264964807418
40,C,1.421393260061961,0.00207339309777715
40,D,79.95214483704653,82.68614133106905
