epoch,raw_norm_A_minus_B_mean,raw_norm_A_minus_B_median,raw_norm_A_minus_B_std,raw_norm_A_minus_B_count,raw_norm_C_minus_D_mean,raw_norm_C_minus_D_median,raw_norm_C_minus_D_std,raw_norm_C_minus_D_count,raw_norm_interaction_mean,raw_norm_interaction_median,raw_norm_interaction_std,raw_norm_interaction_count,adaface_quality_A_minus_B_mean,adaface_quality_A_minus_B_median,adaface_quality_A_minus_B_std,adaface_quality_A_minus_B_count,adaface_quality_C_minus_D_mean,adaface_quality_C_minus_D_median,adaface_quality_C_minus_D_std,adaface_quality_C_minus_D_count,adaface_quality_interaction_mean,adaface_quality_interaction_median,adaface_quality_interaction_std,adaface_quality_interaction_count,p_assigned_A_minus_B_mean,p_assigned_A_minus_B_median,p_assigned_A_minus_B_std,p_assigned_A_minus_B_count,p_assigned_C_minus_D_mean,p_assigned_C_minus_D_median,p_assigned_C_minus_D_std,p_assigned_C_minus_D_count,p_assigned_interaction_mean,p_assigned_interaction_median,p_assigned_interaction_std,p_assigned_interaction_count,difficulty_A_minus_B_mean,difficulty_A_minus_B_median,difficulty_A_minus_B_std,difficulty_A_minus_B_count,difficulty_C_minus_D_mean,difficulty_C_minus_D_median,difficulty_C_minus_D_std,difficulty_C_minus_D_count,difficulty_interaction_mean,difficulty_interaction_median,difficulty_interaction_std,difficulty_interaction_count,per_sample_loss_A_minus_B_mean,per_sample_loss_A_minus_B_median,per_sample_loss_A_minus_B_std,per_sample_loss_A_minus_B_count,per_sample_loss_C_minus_D_mean,per_sample_loss_C_minus_D_median,per_sample_loss_C_minus_D_std,per_sample_loss_C_minus_D_count,per_sample_loss_interaction_mean,per_sample_loss_interaction_median,per_sample_loss_interaction_std,per_sample_loss_interaction_count,head_gradient_norm_A_minus_B_mean,head_gradient_norm_A_minus_B_median,head_gradient_norm_A_minus_B_std,head_gradient_norm_A_minus_B_count,head_gradient_norm_C_minus_D_mean,head_gradient_norm_C_minus_D_median,head_gradient_norm_C_minus_D_std,head_gradient_norm_C_minus_D_count,head_gradient_norm_interaction_mean,head_gradient_norm_interaction_median,head_gradient_norm_interaction_std,head_gradient_norm_interaction_count
1,0.3873378969675087,0.7174720764160156,5.328317938964039,2075,0.07441647541092104,0.07289695739746094,5.340748905595491,2075,-0.3129214215565877,-0.4438648223876953,7.616573438518231,2075,0.0015617229248304425,0.0028042420744896004,0.02626444361407824,2075,0.00022139410553747137,0.00020026043057439977,0.026013083782561727,2075,-0.0013403288192929711,-0.0017282655462623007,0.03793087341970008,2075,-5.275364284623856e-13,6.752743317701917e-18,7.653199890838918e-11,2075,9.591314779561967e-13,8.120735235127576e-18,2.253598204246319e-11,2075,1.4866679064185822e-12,5.89680494397292e-18,7.961931020755246e-11,2075,5.275308971446855e-13,0.0,7.653200067514121e-11,2075,-9.591288941114233e-13,0.0,2.25359846795996e-11,2075,-1.4866597912561087e-12,0.0,7.961931318890638e-11,2075,-0.10154690478221465,-0.135284423828125,4.651118992684703,2075,-0.08084193402026071,-0.15562820434569602,4.348633160158994,2075,0.02070497076195393,-0.03267288208007457,6.16966336166151,2075,0.25307162549122264,0.15106201171875,7.311561873374485,2075,0.04171523864010731,0.12191390991210938,7.085631449277957,2075,-0.21135638685111535,0.0,9.950574884867429,2075
2,1.2774949324274638,2.625917434692383,8.13486742049455,2075,0.4194728148127176,0.33811378479003906,7.098864430491507,2075,-0.8580221176147462,-2.0923137664794904,11.417758538507993,2075,0.006558034204233501,0.016037151217460688,0.0726460713952655,2075,-0.0047648374134000035,-0.005697727203369099,0.06477276574579967,2075,-0.011322871617633503,-0.021442841738462504,0.10344829405145232,2075,4.3318570208252196e-10,4.121090574100021e-16,8.499404719284019e-09,2075,-5.210634345770606e-13,-5.669456213769049e-17,1.990736948568462e-11,2075,-4.33706765517099e-10,-6.8223705459687665e-15,8.496849876122322e-09,2075,-4.3318570037591115e-10,-4.440892098500626e-16,8.499404719779886e-09,2075,5.210685965705059e-13,0.0,1.9907369947000463e-11,2075,4.3370676897248165e-10,6.772360450213455e-15,8.496849879237131e-09,2075,-0.49846125131630037,-0.5510101318359375,4.666862540474119,2075,0.23303356216614507,0.18958663940429688,3.728141507450455,2075,0.7314948134824454,0.9059467315673828,5.934000609767355,2075,1.2564944991146225,1.2592620849609375,5.9485070754158915,2075,0.258923672595656,0.122344970703125,5.525037271848943,2075,-0.9975708265189667,-1.1459121704101562,7.996627635051102,2075
3,2.007380200581378,4.2791595458984375,9.261292728173567,2075,0.5825517091406397,0.3518829345703125,7.656450893758715,2075,-1.4248284914407385,-3.189213752746582,12.45037346442122,2075,0.016797473174297268,0.04516508057713511,0.13557740740501306,2075,-0.0015782900482453602,-0.007463246583938599,0.11776187812104114,2075,-0.01837576322254263,-0.04125912487506869,0.18705361027645384,2075,1.3340103999071774e-06,2.2124119611016327e-14,5.566098906931528e-05,2075,3.536917562706136e-11,-2.0429672358121195e-16,3.5579598071013653e-09,2075,-1.3339750307315503e-06,-7.685993274063713e-14,5.565771210947514e-05,2075,-1.3340103999090033e-06,-2.19824158875781e-14,5.566098906931933e-05,2075,-3.536917757335424e-11,2.220446049250313e-16,3.557959805995894e-09,2075,1.33397503073143e-06,7.704947790898586e-14,5.565771210947939e-05,2075,-1.393315446233175,-1.329555511474613,5.177659521077509,2075,0.07269259073648114,0.07673835754394531,3.3122067043949888,2075,1.466008036969656,1.4851818084716832,6.106441529428003,2075,1.6968836037509412,1.71441650390625,5.266198810424612,2075,0.3397667868740589,0.4475898742675781,4.388140946033247,2075,-1.3571168168768823,-1.394744873046875,6.795511745296235,2075
4,1.9657479766478023,4.376874923706053,9.060379464020988,2075,0.7977183038642608,1.1123123168945295,9.1499947200947,2075,-1.1680296727835415,-2.797926902770996,12.009986439640695,2075,0.010544076495304555,0.0481745600700378,0.18903381102947098,2075,-0.00032373944152264524,0.000970721244811984,0.21034844713425588,2075,-0.0108678159368272,-0.03985624760389331,0.2750241709240989,2075,3.1718331415222905e-05,6.288968704087721e-13,0.0012006822379894086,2075,-3.578310489511695e-09,-3.317795251513928e-18,1.5627211164017124e-07,2075,-3.172190972571242e-05,-1.0907273280641276e-12,0.00120069007621585,2075,-3.171833141522206e-05,-6.289413434501512e-13,0.0012006822379894092,2075,3.5783104881312544e-09,0.0,1.562721116438418e-07,2075,3.1721909725710185e-05,1.0906830993917538e-12,0.001200690076215848,2075,-2.735689499062228,-2.6763534545898438,5.651788300938633,2075,0.027841805607439474,0.0035877227783203125,3.536311027951214,2075,2.7635313046696672,2.7944393157958984,6.463706865138272,2075,1.1278952145863728,1.1047897338867259,5.033296932437061,2075,0.3549824358469032,0.325794219970696,4.422799933252977,2075,-0.7729127787394697,-0.8205108642578196,6.781760693246571,2075
5,1.5248659832506295,3.7803401947021484,8.269449927293167,2075,0.6905184412577066,1.3039197921752912,9.114693923491558,2075,-0.8343475419929227,-1.9244670867919886,11.25221993985048,2075,0.019286622402541528,0.056676328182220403,0.21911720808071897,2075,0.0012315579090640494,0.0060800686478615085,0.2658327455034783,2075,-0.018055064493477477,-0.04527645092457533,0.33403430255662137,2075,0.000567279195654476,1.2619810661493944e-11,0.01345798774196378,2075,3.618356773450195e-09,1.44267943301597e-15,1.8067638387050053e-07,2075,-0.0005672755772977025,-1.3414207862094834e-11,0.013457987791632193,2075,-0.0005672791956544778,-1.2619572054006767e-11,0.013457987741963778,2075,-3.6183567768795373e-09,-1.5543122344752192e-15,1.8067638386938584e-07,2075,0.0005672755772977011,1.3414158672730991e-11,0.01345798779163219,2075,-4.210775791765696,-4.359107971191406,5.95604072028792,2075,-0.26909269677587294,-0.2891120910644531,3.700232168876171,2075,3.9416830949898225,4.092571258544922,6.720954741279922,2075,0.06737234782023596,0.18312454223632812,4.7931435917184135,2075,0.401894295933735,0.25482940673828125,4.430113215574666,2075,0.334521948113499,0.050014495849609375,6.546790430683448,2075
6,1.1800758890358798,3.3324241638183594,7.340020097437813,2075,0.541233397334455,0.8681373596191406,7.750719532428256,2075,-0.6388424917014248,-1.7709026336669922,9.617838925478791,2075,0.04365071239290812,0.0775189399719238,0.2520836176377634,2075,0.0018234957457332129,0.002489805221557617,0.2641767177039602,2075,-0.041827216647174904,-0.06664629559963953,0.3614171681588806,2075,0.001266104042482285,9.056328830966025e-11,0.025258869569099368,2075,8.674519668446935e-08,1.871410559956803e-15,3.137277266406682e-06,2075,-0.0012660172972856006,-9.004278269686709e-11,0.025257412567096512,2075,-0.0012661040424822886,-9.056322358702573e-11,0.02525886956909937,2075,-8.674519668318097e-08,-1.9984014443252818e-15,3.137277266407418e-06,2075,0.0012660172972856051,9.004275103308146e-11,0.025257412567096515,2075,-5.16287445349731,-5.203170776367191,6.1288405217123305,2075,-0.5178056886971715,-0.36399269104003906,4.137638792914594,2075,4.645068764800138,4.841804504394535,7.0215790512724245,2075,-0.6233012422165238,-0.4959449768066406,4.768241734965524,2075,0.5044014041395073,0.38944244384765625,4.361022909173819,2075,1.1277026463560311,0.8674373626709055,6.4057980223477164,2075
7,0.6200567282251565,1.8614940643310582,5.343571957634659,2075,0.5379075126188347,1.104827880859375,7.200456131257743,2075,-0.08214921560632175,-0.5817966461181676,7.779539213017881,2075,0.04301369986664124,0.06149110198020935,0.2438752871776353,2075,-0.003926252344867477,0.0025401115417480885,0.27257764559242104,2075,-0.04693995221150871,-0.0623031370341778,0.3508116109217819,2075,0.006081039248776052,9.532917788490634e-10,0.05903220101807662,2075,-2.4606081619451538e-05,1.66553663899895e-14,0.001128934495306696,2075,-0.006105645330395504,-8.899599430339279e-10,0.05903947281199858,2075,-0.006081039248776054,-9.53291889871366e-10,0.05903220101807663,2075,2.4606081619453127e-05,-1.6542323066914832e-14,0.0011289344953066959,2075,0.0061056453303955085,8.899597725431363e-10,0.05903947281199859,2075,-5.74595814092758,-5.909252166748043,6.138895089576684,2075,-0.8334881065552494,-0.7828750610351491,4.524716175510291,2075,4.912470034372331,5.07558441162109,7.342417893734392,2075,-1.1624171119210231,-1.0970802307128906,4.992807211938993,2075,0.43738629720297206,0.3551216125488281,4.324663360866906,2075,1.5998034091239952,1.5325355529785156,6.5115913534682495,2075
8,0.46898638300148837,1.7077407836914062,4.836028118041567,2075,0.5755563809498246,1.5716247558593786,5.596449730997113,2075,0.10656999794833626,0.2501735687255824,6.269221895700278,2075,0.06726356017479043,0.09520283341407769,0.27582285090180986,2075,0.014686892964911895,0.03778836131095881,0.23388753418375352,2075,-0.05257666720987854,-0.04451254976447669,0.33225276078715377,2075,0.010746051068081908,5.822068969941682e-09,0.0803225387191157,2075,-0.0001243527684569973,3.084396107933766e-14,0.005674799413124957,2075,-0.010870403836538907,-5.3430058924311755e-09,0.08064913690580268,2075,-0.01074605106808191,-5.822069049088441e-09,0.0803225387191157,2075,0.00012435276845699887,-3.0753177782116836e-14,0.005674799413124954,2075,0.01087040383653891,5.343005926583544e-09,0.08064913690580268,2075,-6.117754595116796,-6.263874053955075,6.228507242810487,2075,-1.0266167737202472,-0.9656066894531286,4.831440299960122,2075,5.091137821396549,5.028343200683594,7.397946262986997,2075,-1.5374726558090692,-1.2684059143066406,5.240593792133721,2075,0.501919753292957,0.40868377685546875,4.236947257510549,2075,2.0393924091020263,1.9396095275878906,6.6199974562690365,2075
9,0.23840756887412934,0.90826416015625,3.550041093007824,2075,0.5241052995245141,1.4432239532470703,5.068124997938554,2075,0.2856977306503847,0.5533943176269531,5.279218003499977,2075,0.04663598699872143,0.06129804253578189,0.25423376781132423,2075,0.028018587928613167,0.04524141550064087,0.22921097238521945,2075,-0.018617399070108263,-0.017434578388929506,0.3053756775387961,2075,0.017231287906845378,4.1265824254076893e-08,0.09979211638178942,2075,0.0005505134937386571,1.9500370827645058e-13,0.021624914510259694,2075,-0.01668077441310672,-3.778953932998034e-08,0.09732142332759708,2075,-0.017231287906845385,-4.126582398011891e-08,0.09979211638178943,2075,-0.0005505134937386584,-1.949551631241775e-13,0.021624914510259694,2075,0.01668077441310673,3.778953916455663e-08,0.09732142332759706,2075,-6.579535137544476,-6.411472320556641,6.1362647914929696,2075,-1.5202549953650997,-1.47216796875,5.142618769457263,2075,5.059280142179376,4.754894256591797,7.63775873494034,2075,-2.0028005654293013,-1.5471725463867188,5.466018396485752,2075,0.21766075906983343,0.20025253295898438,4.15801903363704,2075,2.2204613244991345,1.9713249206542969,6.766813277899101,2075
10,0.1507349000494164,0.543228149414059,2.791598740793011,2075,0.365484573180417,1.1398258209228516,4.176191751954001,2075,0.2147496731310006,0.6672935485839844,4.157439521786797,2075,0.06811541259548967,0.07746539264917371,0.2357349750449749,2075,0.028956510594987068,0.04408100247383118,0.2261757365435345,2075,-0.039158902000502614,-0.03733123466372501,0.25924269896455526,2075,0.024420013804918497,1.871488279903135e-07,0.1323799027315169,2075,0.0007595795703764137,1.6224534329966137e-12,0.03403087996442366,2075,-0.023660434234542085,-1.5226819372049508e-07,0.13125588313109166,2075,-0.024420013804918508,-1.871488279903133e-07,0.1323799027315169,2075,-0.000759579570376415,-1.6223689058847413e-12,0.03403087996442366,2075,0.02366043423454209,1.5226819405356196e-07,0.13125588313109166,2075,-6.3647943953692865,-6.25142097473144,6.21937302342712,2075,-2.1162683682359127,-2.3638935089111364,5.572433450641702,2075,4.248526027133374,4.279693603515627,7.767384250996106,2075,-2.135183245661747,-1.6013641357421875,6.001874815497962,2075,-0.0447556144070911,-0.059459686279296875,4.178302859168461,2075,2.0904276312546557,1.4408512115478445,6.946250859547572,2075
