image_id,record_index,y_true,image_path
0,1,0,images/0/1.png
1,2,0,images/0/2.png
2,3,0,images/0/3.png
3,4,0,images/0/4.png
4,5,0,images/0/5.png
5,6,0,images/0/6.png
6,7,0,images/0/7.png
7,8,0,images/0/8.png
8,9,0,images/0/9.png
9,10,0,images/0/10.png
10,11,0,images/0/11.png
11,12,0,images/0/12.png
12,13,0,images/0/13.png
13,14,0,images/0/14.png
14,15,0,images/0/15.png
15,16,1,images/1/16.png
16,17,1,images/1/17.png
17,18,1,images/1/18.png
18,19,1,images/1/19.png
19,20,1,images/1/20.png
20,21,1,images/1/21.png
21,22,1,images/1/22.png
22,23,1,images/1/23.png
23,24,1,images/1/24.png
24,25,1,images/1/25.png
25,26,1,images/1/26.png
26,27,1,images/1/27.png
27,28,1,images/1/28.png
28,29,1,images/1/29.png
29,30,1,images/1/30.png
30,31,1,images/1/31.png
31,32,1,images/1/32.png
32,33,1,images/1/33.png
33,34,1,images/1/34.png
34,35,1,images/1/35.png
35,36,1,images/1/36.png
36,37,1,images/1/37.png
37,38,1,images/1/38.png
38,39,1,images/1/39.png
39,40,1,images/1/40.png
40,41,1,images/1/41.png
41,42,1,images/1/42.png
42,43,1,images/1/43.png
43,44,1,images/1/44.png
44,45,1,images/1/45.png
45,46,1,images/1/46.png
46,47,1,images/1/47.png
47,48,1,images/1/48.png
48,49,1,images/1/49.png
49,50,1,images/1/50.png
50,51,1,images/1/51.png
51,52,1,images/1/52.png
52,53,1,images/1/53.png
53,54,1,images/1/54.png
54,55,1,images/1/55.png
55,56,1,images/1/56.png
56,57,1,images/1/57.png
57,58,1,images/1/58.png
58,59,1,images/1/59.png
59,60,1,images/1/60.png
60,61,1,images/1/61.png
61,62,1,images/1/62.png
62,63,1,images/1/63.png
63,64,1,images/1/64.png
64,65,1,images/1/65.png
65,66,1,images/1/66.png
66,67,1,images/1/67.png
67,68,1,images/1/68.png
68,69,1,images/1/69.png
69,70,1,images/1/70.png
70,71,1,images/1/71.png
71,72,1,images/1/72.png
72,73,1,images/1/73.png
73,74,1,images/1/74.png
74,75,1,images/1/75.png
75,76,1,images/1/76.png
76,77,1,images/1/77.png
77,78,1,images/1/78.png
78,79,1,images/1/79.png
79,80,1,images/1/80.png
80,81,1,images/1/81.png
81,82,1,images/1/82.png
82,83,1,images/1/83.png
83,84,1,images/1/84.png
84,85,1,images/1/85.png
85,86,1,images/1/86.png
86,87,1,images/1/87.png
87,88,1,images/1/88.png
88,89,1,images/1/89.png
