image_id,source_record_id,true_identity,image_path,low_quality_path,assigned_identity,quality_condition,noise_level,is_noisy
T000123,18087,138,data/corrupted/100k_blur_15x15_s5/train/T000123.png,data/corrupted/100k_blur_15x15_s5/train/T000123.png,3459,LOW,5%,1
T000173,107895,1321,data/corrupted/100k_blur_15x15_s5/train/T000173.png,data/corrupted/100k_blur_15x15_s5/train/T000173.png,6685,LOW,5%,1
T000180,107993,1321,data/corrupted/100k_blur_15x15_s5/train/T000180.png,data/corrupted/100k_blur_15x15_s5/train/T000180.png,2804,LOW,5%,1
T000202,205606,3384,data/corrupted/100k_blur_15x15_s5/train/T000202.png,data/corrupted/100k_blur_15x15_s5/train/T000202.png,7300,LOW,5%,1
T000233,205962,3384,data/corrupted/100k_blur_15x15_s5/train/T000233.png,data/corrupted/100k_blur_15x15_s5/train/T000233.png,1709,LOW,5%,1
T000240,205849,3384,data/corrupted/100k_blur_15x15_s5/train/T000240.png,data/corrupted/100k_blur_15x15_s5/train/T000240.png,8303,LOW,5%,1
T000286,148485,2188,data/corrupted/100k_blur_15x15_s5/train/T000286.png,data/corrupted/100k_blur_15x15_s5/train/T000286.png,2949,LOW,5%,1
T000305,189809,3024,data/corrupted/100k_blur_15x15_s5/train/T000305.png,data/corrupted/100k_blur_15x15_s5/train/T000305.png,3676,LOW,5%,1
T000311,189926,3024,data/corrupted/100k_blur_15x15_s5/train/T000311.png,data/corrupted/100k_blur_15x15_s5/train/T000311.png,275,LOW,5%,1
T000317,190302,3024,data/corrupted/100k_blur_15x15_s5/train/T000317.png,data/corrupted/100k_blur_15x15_s5/train/T000317.png,275,LOW,5%,1
T000337,190056,3024,data/corrupted/100k_blur_15x15_s5/train/T000337.png,data/corrupted/100k_blur_15x15_s5/train/T000337.png,4711,LOW,5%,1
T000347,190076,3024,data/corrupted/100k_blur_15x15_s5/train/T000347.png,data/corrupted/100k_blur_15x15_s5/train/T000347.png,187,LOW,5%,1
T000362,73059,872,data/corrupted/100k_blur_15x15_s5/train/T000362.png,data/corrupted/100k_blur_15x15_s5/train/T000362.png,8663,LOW,5%,1
T000377,73110,872,data/corrupted/100k_blur_15x15_s5/train/T000377.png,data/corrupted/100k_blur_15x15_s5/train/T000377.png,8444,LOW,5%,1
T000405,177502,2749,data/corrupted/100k_blur_15x15_s5/train/T000405.png,data/corrupted/100k_blur_15x15_s5/train/T000405.png,5714,LOW,5%,1
T000413,177315,2749,data/corrupted/100k_blur_15x15_s5/train/T000413.png,data/corrupted/100k_blur_15x15_s5/train/T000413.png,46,LOW,5%,1
T000427,177301,2749,data/corrupted/100k_blur_15x15_s5/train/T000427.png,data/corrupted/100k_blur_15x15_s5/train/T000427.png,9923,LOW,5%,1
T000450,239511,4111,data/corrupted/100k_blur_15x15_s5/train/T000450.png,data/corrupted/100k_blur_15x15_s5/train/T000450.png,2941,LOW,5%,1
T000461,239499,4111,data/corrupted/100k_blur_15x15_s5/train/T000461.png,data/corrupted/100k_blur_15x15_s5/train/T000461.png,1375,LOW,5%,1
T000467,239184,4111,data/corrupted/100k_blur_15x15_s5/train/T000467.png,data/corrupted/100k_blur_15x15_s5/train/T000467.png,1876,LOW,5%,1
T000471,239754,4111,data/corrupted/100k_blur_15x15_s5/train/T000471.png,data/corrupted/100k_blur_15x15_s5/train/T000471.png,673,LOW,5%,1
T000475,239650,4111,data/corrupted/100k_blur_15x15_s5/train/T000475.png,data/corrupted/100k_blur_15x15_s5/train/T000475.png,6575,LOW,5%,1
T000494,239649,4111,data/corrupted/100k_blur_15x15_s5/train/T000494.png,data/corrupted/100k_blur_15x15_s5/train/T000494.png,889,LOW,5%,1
T000549,149024,2189,data/corrupted/100k_blur_15x15_s5/train/T000549.png,data/corrupted/100k_blur_15x15_s5/train/T000549.png,6787,LOW,5%,1
T000555,293848,5287,data/corrupted/100k_blur_15x15_s5/train/T000555.png,data/corrupted/100k_blur_15x15_s5/train/T000555.png,4808,LOW,5%,1
T000582,293776,5287,data/corrupted/100k_blur_15x15_s5/train/T000582.png,data/corrupted/100k_blur_15x15_s5/train/T000582.png,3055,LOW,5%,1
T000585,293840,5287,data/corrupted/100k_blur_15x15_s5/train/T000585.png,data/corrupted/100k_blur_15x15_s5/train/T000585.png,5725,LOW,5%,1
T000587,293981,5287,data/corrupted/100k_blur_15x15_s5/train/T000587.png,data/corrupted/100k_blur_15x15_s5/train/T000587.png,5889,LOW,5%,1
T000595,293996,5287,data/corrupted/100k_blur_15x15_s5/train/T000595.png,data/corrupted/100k_blur_15x15_s5/train/T000595.png,7037,LOW,5%,1
T000603,344185,6374,data/corrupted/100k_blur_15x15_s5/train/T000603.png,data/corrupted/100k_blur_15x15_s5/train/T000603.png,8416,LOW,5%,1
T000647,344395,6374,data/corrupted/100k_blur_15x15_s5/train/T000647.png,data/corrupted/100k_blur_15x15_s5/train/T000647.png,891,LOW,5%,1
T000653,265739,4670,data/corrupted/100k_blur_15x15_s5/train/T000653.png,data/corrupted/100k_blur_15x15_s5/train/T000653.png,3871,LOW,5%,1
T000744,7826,41,data/corrupted/100k_blur_15x15_s5/train/T000744.png,data/corrupted/100k_blur_15x15_s5/train/T000744.png,1079,LOW,5%,1
T000852,278726,4968,data/corrupted/100k_blur_15x15_s5/train/T000852.png,data/corrupted/100k_blur_15x15_s5/train/T000852.png,893,LOW,5%,1
T000857,278391,4968,data/corrupted/100k_blur_15x15_s5/train/T000857.png,data/corrupted/100k_blur_15x15_s5/train/T000857.png,9836,LOW,5%,1
T000865,278741,4968,data/corrupted/100k_blur_15x15_s5/train/T000865.png,data/corrupted/100k_blur_15x15_s5/train/T000865.png,2965,LOW,5%,1
T000877,278667,4968,data/corrupted/100k_blur_15x15_s5/train/T000877.png,data/corrupted/100k_blur_15x15_s5/train/T000877.png,3870,LOW,5%,1
T000903,6736,37,data/corrupted/100k_blur_15x15_s5/train/T000903.png,data/corrupted/100k_blur_15x15_s5/train/T000903.png,1959,LOW,5%,1
T000970,336429,6224,data/corrupted/100k_blur_15x15_s5/train/T000970.png,data/corrupted/100k_blur_15x15_s5/train/T000970.png,1935,LOW,5%,1
T000976,336168,6224,data/corrupted/100k_blur_15x15_s5/train/T000976.png,data/corrupted/100k_blur_15x15_s5/train/T000976.png,333,LOW,5%,1
T000982,336381,6224,data/corrupted/100k_blur_15x15_s5/train/T000982.png,data/corrupted/100k_blur_15x15_s5/train/T000982.png,7981,LOW,5%,1
T000996,336285,6224,data/corrupted/100k_blur_15x15_s5/train/T000996.png,data/corrupted/100k_blur_15x15_s5/train/T000996.png,4183,LOW,5%,1
T000999,335972,6224,data/corrupted/100k_blur_15x15_s5/train/T000999.png,data/corrupted/100k_blur_15x15_s5/train/T000999.png,9997,LOW,5%,1
T001051,341404,6332,data/corrupted/100k_blur_15x15_s5/train/T001051.png,data/corrupted/100k_blur_15x15_s5/train/T001051.png,738,LOW,5%,1
T001095,341245,6332,data/corrupted/100k_blur_15x15_s5/train/T001095.png,data/corrupted/100k_blur_15x15_s5/train/T001095.png,1098,LOW,5%,1
T001107,106822,1317,data/corrupted/100k_blur_15x15_s5/train/T001107.png,data/corrupted/100k_blur_15x15_s5/train/T001107.png,4292,LOW,5%,1
T001110,107090,1317,data/corrupted/100k_blur_15x15_s5/train/T001110.png,data/corrupted/100k_blur_15x15_s5/train/T001110.png,8067,LOW,5%,1
T001131,107040,1317,data/corrupted/100k_blur_15x15_s5/train/T001131.png,data/corrupted/100k_blur_15x15_s5/train/T001131.png,5834,LOW,5%,1
T001171,60303,658,data/corrupted/100k_blur_15x15_s5/train/T001171.png,data/corrupted/100k_blur_15x15_s5/train/T001171.png,32,LOW,5%,1
T001249,105815,1299,data/corrupted/100k_blur_15x15_s5/train/T001249.png,data/corrupted/100k_blur_15x15_s5/train/T001249.png,5846,LOW,5%,1
T001257,102461,1245,data/corrupted/100k_blur_15x15_s5/train/T001257.png,data/corrupted/100k_blur_15x15_s5/train/T001257.png,4621,LOW,5%,1
T001272,102708,1245,data/corrupted/100k_blur_15x15_s5/train/T001272.png,data/corrupted/100k_blur_15x15_s5/train/T001272.png,5839,LOW,5%,1
T001355,30993,256,data/corrupted/100k_blur_15x15_s5/train/T001355.png,data/corrupted/100k_blur_15x15_s5/train/T001355.png,5067,LOW,5%,1
