image_id,true_identity,assigned_identity,noise_level,seed
T000123,138,3459,5%,42
T000173,1321,6685,5%,42
T000180,1321,2804,5%,42
T000202,3384,7300,5%,42
T000233,3384,1709,5%,42
T000240,3384,8303,5%,42
T000286,2188,2949,5%,42
T000305,3024,3676,5%,42
T000311,3024,275,5%,42
T000317,3024,275,5%,42
T000337,3024,4711,5%,42
T000347,3024,187,5%,42
T000362,872,8663,5%,42
T000377,872,8444,5%,42
T000405,2749,5714,5%,42
T000413,2749,46,5%,42
T000427,2749,9923,5%,42
T000450,4111,2941,5%,42
T000461,4111,1375,5%,42
T000467,4111,1876,5%,42
T000471,4111,673,5%,42
T000475,4111,6575,5%,42
T000494,4111,889,5%,42
T000549,2189,6787,5%,42
T000555,5287,4808,5%,42
T000582,5287,3055,5%,42
T000585,5287,5725,5%,42
T000587,5287,5889,5%,42
T000595,5287,7037,5%,42
T000603,6374,8416,5%,42
T000647,6374,891,5%,42
T000653,4670,3871,5%,42
T000744,41,1079,5%,42
T000852,4968,893,5%,42
T000857,4968,9836,5%,42
T000865,4968,2965,5%,42
T000877,4968,3870,5%,42
T000903,37,1959,5%,42
T000970,6224,1935,5%,42
T000976,6224,333,5%,42
T000982,6224,7981,5%,42
T000996,6224,4183,5%,42
T000999,6224,9997,5%,42
T001051,6332,738,5%,42
T001095,6332,1098,5%,42
T001107,1317,4292,5%,42
T001110,1317,8067,5%,42
T001131,1317,5834,5%,42
T001171,658,32,5%,42
T001249,1299,5846,5%,42
T001257,1245,4621,5%,42
T001272,1245,5839,5%,42
T001355,256,5067,5%,42
T001364,256,1286,5%,42
T001381,256,462,5%,42
T001403,4401,4312,5%,42
T001408,4401,4603,5%,42
T001431,4401,2806,5%,42
T001438,4401,8791,5%,42
T001457,23,9987,5%,42
T001458,23,193,5%,42
T001485,23,966,5%,42
T001489,23,5067,5%,42
T001506,194,2027,5%,42
T001513,194,605,5%,42
T001530,194,5657,5%,42
T001552,1822,1004,5%,42
T001556,1822,10535,5%,42
T001559,1822,1468,5%,42
T001570,1822,9936,5%,42
T001593,1822,3676,5%,42
T001595,1822,764,5%,42
T001612,3989,9524,5%,42
T001643,3989,6777,5%,42
T001685,1226,6094,5%,42
T001686,1226,9118,5%,42
T001703,513,6271,5%,42
T001708,513,1933,5%,42
T001716,513,6675,5%,42
T001720,513,18,5%,42
T001723,513,9544,5%,42
T001731,513,497,5%,42
T001749,513,2227,5%,42
T001771,8071,1266,5%,42
T001775,8071,2715,5%,42
T001802,2439,8739,5%,42
T001847,2439,9292,5%,42
T001875,4478,578,5%,42
T001911,5830,158,5%,42
T002040,69,9237,5%,42
T002047,69,4486,5%,42
T002164,2738,191,5%,42
T002187,2738,280,5%,42
T002196,2738,2935,5%,42
T002198,2738,524,5%,42
T002202,5444,2644,5%,42
T002218,5444,5408,5%,42
T002231,5444,3007,5%,42
T002246,5444,470,5%,42
T002255,6023,2794,5%,42
T002275,6023,2804,5%,42
T002277,6023,6406,5%,42
T002283,6023,2040,5%,42
T002284,6023,6509,5%,42
T002299,6023,8855,5%,42
T002347,3274,2275,5%,42
T002366,21,6202,5%,42
T002413,2986,6954,5%,42
T002417,2986,1801,5%,42
T002449,2986,2308,5%,42
T002465,18,7925,5%,42
T002469,18,3190,5%,42
T002492,18,148,5%,42
T002501,47,4145,5%,42
T002522,47,5210,5%,42
T002528,47,9519,5%,42
T002534,47,3066,5%,42
T002548,47,2293,5%,42
T002574,3,456,5%,42
T002580,3,4958,5%,42
T002583,3,250,5%,42
T002632,2639,6128,5%,42
T002657,14,7759,5%,42
T002711,1595,647,5%,42
T002727,1595,2987,5%,42
T002732,1595,4706,5%,42
T002740,1595,4682,5%,42
T002776,4362,360,5%,42
T002794,4362,2554,5%,42
T002797,4362,9199,5%,42
T002811,1649,9241,5%,42
T002878,2027,7987,5%,42
T002884,2027,383,5%,42
T002910,291,599,5%,42
T002923,291,1204,5%,42
T002932,291,1603,5%,42
T002967,4312,7115,5%,42
T002975,4312,4646,5%,42
T002988,4312,1122,5%,42
T003020,4290,385,5%,42
T003024,4290,7372,5%,42
T003029,4290,1466,5%,42
T003079,2644,1008,5%,42
T003088,2644,7529,5%,42
T003126,6049,4329,5%,42
T003132,6049,238,5%,42
T003138,6049,3479,5%,42
T003173,1005,2243,5%,42
T003199,1005,863,5%,42
T003245,2526,787,5%,42
T003246,2526,808,5%,42
T003261,5447,1791,5%,42
T003265,5447,4844,5%,42
T003355,1014,8715,5%,42
T003363,1014,89,5%,42
T003378,1014,3729,5%,42
T003407,626,976,5%,42
T003423,626,8545,5%,42
T003431,626,6332,5%,42
T003433,626,5991,5%,42
T003441,626,8751,5%,42
T003443,626,4064,5%,42
T003467,2059,1422,5%,42
T003471,2059,267,5%,42
T003472,2059,7088,5%,42
T003474,2059,4208,5%,42
T003502,6723,3926,5%,42
T003508,6723,7542,5%,42
T003550,6811,7940,5%,42
T003590,6811,4670,5%,42
T003620,5889,2626,5%,42
T003650,5547,8867,5%,42
T003682,5547,4096,5%,42
T003684,5547,10195,5%,42
T003696,5547,4431,5%,42
T003701,8401,596,5%,42
T003721,8401,760,5%,42
T003734,8401,10293,5%,42
T003776,343,1727,5%,42
T003801,308,5503,5%,42
T003809,308,56,5%,42
T003814,308,10067,5%,42
T003819,308,9906,5%,42
T003823,308,6374,5%,42
T003831,308,3066,5%,42
T003852,3687,4487,5%,42
T003860,3687,1047,5%,42
T003880,3687,673,5%,42
T003882,3687,1,5%,42
T003889,3687,4874,5%,42
T003895,3687,5233,5%,42
T003905,2834,3764,5%,42
T003907,2834,7242,5%,42
T003940,2834,1115,5%,42
T003960,406,554,5%,42
T003961,406,86,5%,42
T004007,4238,1629,5%,42
T004009,4238,1388,5%,42
T004028,4238,690,5%,42
T004036,4238,3956,5%,42
T004049,4238,8206,5%,42
T004089,8313,130,5%,42
T004106,693,9544,5%,42
T004109,693,8746,5%,42
T004112,693,847,5%,42
T004124,693,582,5%,42
T004150,2390,8565,5%,42
T004160,2390,1592,5%,42
T004168,2390,7076,5%,42
T004170,2390,899,5%,42
T004178,2390,2535,5%,42
T004185,2390,9,5%,42
T004191,2390,714,5%,42
T004201,199,1095,5%,42
T004203,199,32,5%,42
T004229,199,5726,5%,42
T004240,199,5882,5%,42
T004258,1022,581,5%,42
T004303,1248,6601,5%,42
T004320,1248,3374,5%,42
T004334,1248,3010,5%,42
T004339,1248,632,5%,42
T004349,1248,5944,5%,42
T004401,476,4281,5%,42
T004438,476,534,5%,42
T004447,476,5769,5%,42
T004449,476,7684,5%,42
T004453,1764,8712,5%,42
T004499,1764,2749,5%,42
T004519,7601,6014,5%,42
T004535,7601,467,5%,42
T004537,7601,4769,5%,42
T004561,7766,6514,5%,42
T004565,7766,6301,5%,42
T004599,7766,10177,5%,42
T004619,1657,987,5%,42
T004642,1657,2439,5%,42
T004646,1657,2486,5%,42
T004653,578,170,5%,42
T004674,578,5364,5%,42
T004686,578,2697,5%,42
T004742,1236,57,5%,42
T004754,1039,3938,5%,42
T004788,1039,9940,5%,42
T004794,1039,59,5%,42
T004827,2013,5233,5%,42
T004829,2013,7030,5%,42
T004891,1147,3759,5%,42
T004899,1147,176,5%,42
T004907,176,6284,5%,42
T004911,176,7334,5%,42
T004934,176,4191,5%,42
T004942,176,1631,5%,42
T004953,39,7002,5%,42
T004958,39,1017,5%,42
T004965,39,4367,5%,42
T004984,39,4004,5%,42
T004987,39,6983,5%,42
T005011,1154,985,5%,42
T005015,1154,187,5%,42
T005050,5511,7937,5%,42
T005080,5511,3331,5%,42
T005096,5511,889,5%,42
T005098,5511,6605,5%,42
T005101,7002,9236,5%,42
T005119,7002,683,5%,42
T005124,7002,5982,5%,42
T005144,7002,264,5%,42
T005195,4038,3114,5%,42
T005232,469,3430,5%,42
T005273,4367,279,5%,42
T005289,4367,6745,5%,42
T005306,3941,198,5%,42
T005323,3941,4523,5%,42
T005345,3941,84,5%,42
T005353,6232,4499,5%,42
T005361,6232,4502,5%,42
T005399,6232,4212,5%,42
T005407,9237,270,5%,42
T005419,9237,4420,5%,42
T005427,9237,6602,5%,42
T005448,9237,340,5%,42
T005452,6485,175,5%,42
T005456,6485,819,5%,42
T005493,6485,2004,5%,42
T005502,25,3362,5%,42
T005512,25,2881,5%,42
T005518,25,1095,5%,42
T005557,221,2387,5%,42
T005559,221,4263,5%,42
T005578,221,3274,5%,42
T005604,2646,5953,5%,42
T005628,2646,3788,5%,42
T005652,4168,4226,5%,42
T005657,4168,2154,5%,42
T005660,4168,128,5%,42
T005691,4168,1212,5%,42
T005706,6323,1755,5%,42
T005716,6323,1815,5%,42
T005756,3749,10206,5%,42
T005780,3749,43,5%,42
T005783,3749,5589,5%,42
T005789,3749,1933,5%,42
T005856,2244,2787,5%,42
T005858,2244,4314,5%,42
T005880,2244,4856,5%,42
T005886,2244,233,5%,42
T005895,2244,2418,5%,42
T005913,88,6271,5%,42
T005917,88,1164,5%,42
T005966,34,5393,5%,42
T006048,1117,1514,5%,42
T006051,1336,2118,5%,42
T006097,1336,5392,5%,42
T006146,4728,8075,5%,42
T006193,4800,4221,5%,42
T006209,5624,159,5%,42
T006211,5624,1189,5%,42
T006216,5624,3343,5%,42
T006226,5624,2433,5%,42
T006238,5624,7811,5%,42
T006241,5624,2493,5%,42
T006248,5624,6949,5%,42
T006271,86,6685,5%,42
T006272,86,101,5%,42
T006295,86,1202,5%,42
T006331,1188,5708,5%,42
T006334,1188,3007,5%,42
T006362,85,4486,5%,42
T006388,85,1552,5%,42
T006391,85,3708,5%,42
T006444,3619,384,5%,42
T006450,136,2613,5%,42
T006459,136,1704,5%,42
T006465,136,2355,5%,42
T006476,136,6647,5%,42
T006485,136,253,5%,42
T006503,3241,3056,5%,42
T006504,3241,171,5%,42
T006516,3241,8050,5%,42
T006520,3241,391,5%,42
T006551,4682,240,5%,42
T006570,4682,6357,5%,42
T006571,4682,610,5%,42
T006573,4682,4450,5%,42
T006580,4682,6332,5%,42
T006594,4682,5132,5%,42
