image_id,true_identity,assigned_identity,noise_level,seed
T000003,819,1685,20%,42
T000007,819,4743,20%,42
T000024,819,947,20%,42
T000032,819,7375,20%,42
T000039,819,2166,20%,42
T000047,819,6433,20%,42
T000052,3410,27,20%,42
T000054,3410,895,20%,42
T000062,3410,2677,20%,42
T000071,3410,3728,20%,42
T000075,3410,4489,20%,42
T000083,3410,1574,20%,42
T000085,3410,733,20%,42
T000097,3410,3743,20%,42
T000098,3410,6407,20%,42
T000100,138,40,20%,42
T000106,138,6983,20%,42
T000114,138,6253,20%,42
T000115,138,6594,20%,42
T000123,138,3459,20%,42
T000125,138,8146,20%,42
T000128,138,730,20%,42
T000129,138,3004,20%,42
T000138,138,6692,20%,42
T000142,138,7165,20%,42
T000143,138,256,20%,42
T000151,1321,6904,20%,42
T000155,1321,9638,20%,42
T000163,1321,294,20%,42
T000164,1321,6092,20%,42
T000173,1321,6685,20%,42
T000176,1321,4212,20%,42
T000179,1321,8476,20%,42
T000180,1321,2804,20%,42
T000187,1321,1538,20%,42
T000188,1321,3606,20%,42
T000195,1321,279,20%,42
T000202,3384,7300,20%,42
T000204,3384,1370,20%,42
T000221,3384,3209,20%,42
T000233,3384,1709,20%,42
T000236,3384,9533,20%,42
T000240,3384,8303,20%,42
T000247,3384,4700,20%,42
T000250,2188,56,20%,42
T000253,2188,131,20%,42
T000272,2188,1588,20%,42
T000279,2188,6974,20%,42
T000281,2188,9175,20%,42
T000286,2188,2949,20%,42
T000293,2188,6172,20%,42
T000305,3024,3676,20%,42
T000307,3024,2131,20%,42
T000311,3024,275,20%,42
T000317,3024,275,20%,42
T000326,3024,8691,20%,42
T000327,3024,590,20%,42
T000328,3024,443,20%,42
T000335,3024,9853,20%,42
T000337,3024,4711,20%,42
T000339,3024,1042,20%,42
T000347,3024,187,20%,42
T000349,3024,1375,20%,42
T000355,872,3950,20%,42
T000358,872,6864,20%,42
T000362,872,8663,20%,42
T000369,872,1991,20%,42
T000374,872,818,20%,42
T000377,872,8444,20%,42
T000379,872,967,20%,42
T000381,872,1318,20%,42
T000386,872,4248,20%,42
T000387,872,4790,20%,42
T000389,872,5500,20%,42
T000402,2749,8617,20%,42
T000405,2749,5714,20%,42
T000409,2749,5075,20%,42
T000411,2749,8408,20%,42
T000413,2749,46,20%,42
T000416,2749,8950,20%,42
T000421,2749,4190,20%,42
T000423,2749,3456,20%,42
T000427,2749,9923,20%,42
T000430,2749,1265,20%,42
T000432,2749,3693,20%,42
T000440,2749,9533,20%,42
T000442,2749,9164,20%,42
T000444,2749,1130,20%,42
T000446,2749,8470,20%,42
T000447,2749,3586,20%,42
T000450,4111,2941,20%,42
T000461,4111,1375,20%,42
T000464,4111,74,20%,42
T000467,4111,1876,20%,42
T000471,4111,673,20%,42
T000473,4111,6119,20%,42
T000475,4111,6575,20%,42
T000494,4111,889,20%,42
T000505,2189,1132,20%,42
T000521,2189,5525,20%,42
T000528,2189,340,20%,42
T000532,2189,101,20%,42
T000537,2189,1673,20%,42
T000539,2189,2108,20%,42
T000544,2189,1824,20%,42
T000545,2189,264,20%,42
T000548,2189,426,20%,42
T000549,2189,6787,20%,42
T000555,5287,4808,20%,42
T000565,5287,21,20%,42
T000582,5287,3055,20%,42
T000585,5287,5725,20%,42
T000587,5287,5889,20%,42
T000595,5287,7037,20%,42
T000601,6374,629,20%,42
T000603,6374,8416,20%,42
T000605,6374,1193,20%,42
T000607,6374,1655,20%,42
T000612,6374,6599,20%,42
T000613,6374,7977,20%,42
T000615,6374,730,20%,42
T000622,6374,6407,20%,42
T000632,6374,13,20%,42
T000636,6374,7375,20%,42
T000637,6374,2499,20%,42
T000639,6374,1062,20%,42
T000646,6374,3667,20%,42
T000647,6374,891,20%,42
T000650,4670,2815,20%,42
T000651,4670,8751,20%,42
T000653,4670,3871,20%,42
T000658,4670,455,20%,42
T000660,4670,513,20%,42
T000662,4670,3554,20%,42
T000671,4670,413,20%,42
T000674,4670,7389,20%,42
T000712,41,1829,20%,42
T000719,41,1087,20%,42
T000722,41,7115,20%,42
T000724,41,9441,20%,42
T000730,41,1090,20%,42
T000731,41,469,20%,42
T000737,41,2346,20%,42
T000743,41,8087,20%,42
T000744,41,1079,20%,42
T000747,41,9650,20%,42
T000748,41,616,20%,42
T000750,1542,8312,20%,42
T000753,1542,975,20%,42
T000754,1542,2188,20%,42
T000756,1542,819,20%,42
T000761,1542,71,20%,42
T000767,1542,2520,20%,42
T000770,1542,6840,20%,42
T000779,1542,4004,20%,42
T000785,1542,4622,20%,42
T000789,1542,76,20%,42
T000798,1542,6437,20%,42
T000799,1542,8373,20%,42
T000812,6090,27,20%,42
T000816,6090,4364,20%,42
T000818,6090,2040,20%,42
T000822,6090,2639,20%,42
T000834,6090,1039,20%,42
T000840,6090,8480,20%,42
T000852,4968,893,20%,42
T000857,4968,9836,20%,42
T000859,4968,74,20%,42
T000863,4968,587,20%,42
T000865,4968,2965,20%,42
T000869,4968,4151,20%,42
T000874,4968,4027,20%,42
T000875,4968,7392,20%,42
T000877,4968,3870,20%,42
T000879,4968,7392,20%,42
T000884,4968,377,20%,42
T000890,4968,185,20%,42
T000901,37,480,20%,42
T000902,37,232,20%,42
T000903,37,1959,20%,42
T000906,37,199,20%,42
T000907,37,3114,20%,42
T000909,37,5094,20%,42
T000915,37,1265,20%,42
T000928,37,7906,20%,42
T000939,37,3398,20%,42
T000949,37,4046,20%,42
T000953,6224,9986,20%,42
T000956,6224,413,20%,42
T000960,6224,4403,20%,42
T000968,6224,7299,20%,42
T000970,6224,1935,20%,42
T000976,6224,333,20%,42
T000979,6224,430,20%,42
T000981,6224,3330,20%,42
T000982,6224,7981,20%,42
T000988,6224,891,20%,42
T000996,6224,4183,20%,42
T000999,6224,9997,20%,42
T001002,956,1115,20%,42
T001011,956,8613,20%,42
T001019,956,2034,20%,42
T001021,956,1815,20%,42
T001023,956,2042,20%,42
T001027,956,6332,20%,42
T001031,956,605,20%,42
T001036,956,5887,20%,42
T001040,956,3165,20%,42
T001047,956,1595,20%,42
T001051,6332,738,20%,42
T001052,6332,3316,20%,42
T001053,6332,2100,20%,42
T001070,6332,65,20%,42
T001071,6332,2331,20%,42
T001076,6332,4204,20%,42
T001077,6332,2804,20%,42
T001081,6332,248,20%,42
T001084,6332,521,20%,42
T001091,6332,2584,20%,42
T001095,6332,1098,20%,42
T001097,6332,6193,20%,42
T001106,1317,2264,20%,42
T001107,1317,4292,20%,42
T001110,1317,8067,20%,42
T001126,1317,987,20%,42
T001129,1317,9617,20%,42
T001131,1317,5834,20%,42
T001133,1317,84,20%,42
T001138,1317,6838,20%,42
T001147,1317,136,20%,42
T001148,1317,10314,20%,42
T001151,658,7115,20%,42
T001164,658,6889,20%,42
T001171,658,32,20%,42
T001174,658,6202,20%,42
T001185,658,178,20%,42
T001195,658,8943,20%,42
T001212,1299,444,20%,42
T001217,1299,1326,20%,42
T001218,1299,2926,20%,42
T001233,1299,4121,20%,42
T001243,1299,6573,20%,42
T001248,1299,79,20%,42
T001249,1299,5846,20%,42
T001253,1245,9199,20%,42
T001256,1245,3003,20%,42
T001257,1245,4621,20%,42
T001260,1245,915,20%,42
T001264,1245,4888,20%,42
T001266,1245,4048,20%,42
T001269,1245,7372,20%,42
T001272,1245,5839,20%,42
T001275,1245,365,20%,42
T001296,1245,977,20%,42
T001304,1994,4847,20%,42
T001307,1994,995,20%,42
T001330,1994,651,20%,42
T001336,1994,4,20%,42
T001338,1994,7018,20%,42
T001343,1994,4088,20%,42
T001347,1994,7127,20%,42
T001350,256,7940,20%,42
T001353,256,10281,20%,42
T001355,256,5067,20%,42
T001361,256,3749,20%,42
T001364,256,1286,20%,42
T001371,256,4207,20%,42
T001376,256,9519,20%,42
T001381,256,462,20%,42
T001382,256,6688,20%,42
T001383,256,3496,20%,42
T001391,256,5510,20%,42
T001395,256,732,20%,42
T001401,4401,1494,20%,42
T001403,4401,4312,20%,42
T001408,4401,4603,20%,42
T001409,4401,5957,20%,42
T001410,4401,1818,20%,42
T001416,4401,3351,20%,42
T001431,4401,2806,20%,42
T001433,4401,1801,20%,42
T001434,4401,2433,20%,42
T001438,4401,8791,20%,42
T001443,4401,7099,20%,42
T001449,4401,5377,20%,42
T001457,23,9987,20%,42
T001458,23,193,20%,42
T001465,23,9747,20%,42
T001466,23,1552,20%,42
T001483,23,8161,20%,42
T001485,23,966,20%,42
T001487,23,7319,20%,42
T001489,23,5067,20%,42
T001491,23,5322,20%,42
T001494,23,697,20%,42
T001506,194,2027,20%,42
T001508,194,5993,20%,42
T001513,194,605,20%,42
T001515,194,3895,20%,42
T001522,194,6110,20%,42
T001524,194,541,20%,42
T001525,194,5503,20%,42
T001530,194,5657,20%,42
T001533,194,8861,20%,42
T001538,194,1317,20%,42
T001540,194,2645,20%,42
T001547,194,2023,20%,42
T001552,1822,1004,20%,42
T001556,1822,10535,20%,42
T001559,1822,1468,20%,42
T001567,1822,8127,20%,42
T001570,1822,9936,20%,42
T001573,1822,8763,20%,42
T001579,1822,6575,20%,42
T001588,1822,5678,20%,42
T001593,1822,3676,20%,42
T001594,1822,8146,20%,42
T001595,1822,764,20%,42
T001612,3989,9524,20%,42
T001613,3989,8087,20%,42
T001618,3989,41,20%,42
T001625,3989,7792,20%,42
T001633,3989,1143,20%,42
T001636,3989,1504,20%,42
T001643,3989,6777,20%,42
T001659,1226,2099,20%,42
T001664,1226,2306,20%,42
T001669,1226,1888,20%,42
